Filename-->;PETSLO_ROSA_1.RFL8;PETSLO_ROSA_2.RFL8;PETSLO_ROSA_3.RFL8
Mode/Unit-->;;;
Int.time[ms]-->;1,049999952;1,049999952;1,049999952
NrOfAverages-->;20;20;20
Smoothing-->;4;4;4
Wavelength [nm];;;
172,206;26,78050986;28,00859666;6,94018404
172,805;27,90216953;22,48701336;2,860944828
173,404;27,99084223;22,84548537;11,10512096
174,003;22,87374507;26,19432468;11,52625139
174,602;11,46572148;29,80518287;12,3829799
175,201;2,604411718;27,07551103;16,21338979
175,800;-3,388732941;14,05242964;22,52292537
176,398;-19,49152667;10,74516322;24,03542036
176,997;-23,46002648;9,0423273;30,71009403
177,596;-21,00954922;6,002238864;36,67953907
178,195;-21,75012641;0,280182769;34,26844961
178,793;-20,01495448;-3,18570351;36,72627363
179,392;-6,268125223;-8,975978041;27,13700908
179,991;2,684413373;-15,49053368;36,96733822
180,589;-1,320379243;-2,22171345;36,19026197
181,188;18,82404498;12,26644955;36,51409803
181,786;18,72798052;12,8908507;34,2577134
182,385;24,11533623;16,86747018;33,21109165
182,983;23,26117873;15,71243256;21,26571605
183,581;24,455508;15,6896818;29,69042192
184,180;24,33541853;20,02295781;26,49895452
184,778;23,50445344;24,07667184;35,30627616
185,377;18,09749262;25,59523793;20,18518484
185,975;14,43277327;23,18568965;16,60460111
186,573;3,505536297;16,25409523;8,460012864
187,171;6,805074178;18,12899467;4,894035013
187,770;-4,343997601;13,74520325;3,214856222
188,368;12,05550672;20,79690976;2,869440512
188,966;7,317676048;26,99249666;-4,380148863
189,564;-5,680400273;20,27729662;-8,908406898
190,162;-9,994117999;21,38250572;-22,4316242
190,760;-9,280825799;20,72932462;-22,01834868
191,358;0,208147724;22,61339214;-24,80940858
191,956;11,70179281;27,58121113;-16,90369725
192,554;8,259348716;20,79698536;-18,52362212
193,152;24,45582465;14,71861367;-29,51057659
193,750;15,45479013;11,58841092;-19,98013842
194,348;17,55549057;9,511170017;-21,38075215
194,946;16,1676636;15,91427291;-23,83302541
195,543;16,95906385;10,53945767;-11,75991899
196,141;29,02558795;11,87827958;-13,15505733
196,739;28,39925719;4,094928581;-6,454316427
197,337;17,21980264;4,042135424;-20,86314396
197,934;14,29056188;8,390143091;-9,774266265
198,532;3,757827827;15,79575106;-7,769423534
199,130;-4,251143916;12,80143847;-8,423913281
199,727;-11,41045904;18,44289994;-9,861932413
200,325;-5,646630231;14,16833174;-12,06737431
200,922;-9,354838055;8,827845296;-15,78321756
201,520;-17,42926868;8,400460045;-14,23086663
202,117;-1,2282497;12,99231521;-19,84793002
202,715;-2,83649982;5,474861259;-2,064408785
203,312;-0,711132911;13,28027826;-13,09729507
203,909;-4,382470581;5,294790718;4,502304928
204,507;-6,664657566;4,165583914;5,134120782
205,104;12,02186031;-5,793144702;13,4104078
205,701;5,309734561;-15,2647003;19,75248772
206,298;10,33623853;-4,676145231;16,34743878
206,896;3,015720467;-4,391026577;18,82990176
207,493;-20,28740292;-4,993065214;29,43641296
208,090;-40,9071072;2,749816717;30,29743758
208,687;-8,446969052;-0,300466018;41,87082479
209,284;-1,837187309;4,883117549;37,90484724
209,881;6,364657255;-5,044901739;39,9869374
210,478;1,995305303;-6,948086298;44,54347576
211,075;23,46427707;-6,599749025;46,22335535
211,672;21,10591857;-16,70619176;46,29303649
212,269;27,92381987;-26,92532024;52,82124327
212,866;38,00093242;-29,47682773;51,41065697
213,463;58,03443613;-33,83838323;41,44796331
214,060;45,9631564;-34,77513548;28,27448038
214,657;41,24649907;-43,77038339;25,04527763
215,253;35,54672694;-42,51093921;14,30495583
215,850;40,79592954;-36,2625947;11,34441616
216,447;28,58707634;-46,13942712;10,92415391
217,044;29,63464117;-48,1932504;16,09382381
217,640;27,4990628;-29,89183632;5,948121509
218,237;21,95413875;-26,89518478;1,99596333
218,833;13,72036959;-15,86392855;0,619835088
219,430;15,27249736;-21,08196701;10,71276212
220,026;16,60239486;-20,43519326;10,29563775
220,623;20,11149156;-26,05680449;7,041090418
221,219;11,05664519;-38,77831249;3,83374462
221,816;18,43180019;-14,76612791;7,345334213
222,412;23,65930445;-1,931849166;0,926724042
223,009;29,06976693;-3,291493128;4,214223226
223,605;28,97836699;-1,625543471;1,301323833
224,201;33,42423016;-17,53764374;3,668903339
224,798;27,23446968;-9,871977722;4,129145001
225,394;29,32839231;-16,05609578;10,70624362
225,990;23,02566565;-0,309335627;5,838798719
226,586;14,31306809;2,390229707;2,895752138
227,182;-1,629007229;-9,854805603;0,944569611
227,778;-10,82603294;-21,22522671;4,927609054
228,374;-19,48562745;-15,61164812;-2,327987539
228,971;-21,68199734;-20,863549;-8,323072558
229,567;-34,90534566;-6,162557487;-16,48379102
230,163;-41,40351111;-0,033750031;-22,97332978
230,758;-37,89473608;6,731389858;-31,53781741
231,354;-23,64104127;5,588585458;-22,09405436
231,950;-10,52016482;17,22824529;-14,04525437
232,546;8,415233962;13,85818303;-11,78335487
233,142;-0,66918718;20,51023018;-9,625389236
233,738;-7,664233421;1,658826249;-0,865801854
234,334;-1,329012419;7,420578122;-1,989528357
234,929;-1,314902366;1,670645161;6,627174593
235,525;4,297726305;-5,3539714;9,384461711
236,121;-18,04979266;-17,28501585;16,52949148
236,716;-28,62305793;-20,95565346;33,8055352
237,312;-33,3863248;-28,97805207;42,93252606
237,907;-29,13283709;-33,41601558;23,93500028
238,503;-36,14372391;-33,53836282;6,812274441
239,099;-29,25515015;-18,04176384;8,508363206
239,694;-44,51048914;-48,57881453;8,992560963
240,289;-37,37035697;-43,47163879;9,973926549
240,885;-25,37926503;-49,39152416;-1,18260955
241,480;-6,742282046;-17,93292493;-19,46808711
242,076;-16,82847696;-25,89614711;-22,24304918
242,671;-8,955676839;-21,44342164;-28,21418903
243,266;-16,2266568;-18,24242529;-21,93117644
243,861;-4,647210202;-21,40209857;-17,40554025
244,457;1,282051059;-17,49116571;-22,30088565
245,052;0,841424033;0,081520496;-10,23686373
245,647;-0,364167794;3,697875444;-3,591530197
246,242;-3,635093153;7,455428926;5,102880501
246,837;12,21171026;-7,692307015;18,84207727
247,432;21,07558282;-7,615480857;7,407406529
248,027;24,1909121;-12,75719978;20,30209942
248,622;20,3947362;-3,304956484;24,27313981
249,217;20,72556133;-11,66358011;35,66027938
249,812;14,41701663;-21,60686474;28,61041574
250,407;19,60681401;-13,82795058;20,98324581
251,002;11,88038716;-17,43280455;15,64095839
251,597;16,44132001;-13,42086151;10,26259269
252,192;9,654979993;-2,014388082;4,094028816
252,786;17,76219667;9,318181312;15,78256364
253,381;3,28457074;8,796648308;0,899634463
253,976;6,726070185;5,132849506;6,666667624
254,571;8,294037519;12,68412509;-5,918562525
255,165;12,61233244;16,59024514;-3,106796003
255,760;13,90557959;6,518933238;3,250517354
256,354;16,1971839;7,651320852;-1,635770053
256,949;10,35175822;2,700963961;0,68011725
257,543;2,789585167;3,937007277;6,742640411
258,138;3,384692632;-3,297683423;3,711936025
258,732;7,677648582;1,099518496;3,961137643
259,327;9,704881735;8,909671384;-7,944358683
259,921;15,99397469;3,463633461;-6,59232605
260,515;-0,814066798;2,803308836;-1,700984515
261,110;-9,113926994;3,893636294;8,722651556
261,704;8,629646083;1,701031534;14,97975781
262,298;-3,645570613;-5,665164404;15,28936069
262,893;-8,560925518;-1,313268255;18,16391786
263,487;-25,15687112;-1,316108874;22,3180319
264,081;-18,79619829;-3,413237056;17,8884934
264,675;-9,777102399;-13,20808486;23,82988289
265,269;-31,28916602;-15,33651331;26,75388964
265,863;-9,045015996;-15,01511494;23,71109066
266,457;-5,003450628;-6,487916284;13,98252116
267,051;-14,23423457;-1,860463259;8,434344108
267,645;-18,6618571;0,810812927;0,442477839
268,239;-34,87544349;-10,75857053;-7,887161574
268,833;-29,20146841;-7,841865059;-5,004147376
269,427;-15,80806601;9,983360843;9,290629331
270,021;-22,76712251;8,383928941;9,51586005
270,614;-14,72553082;10,16225542;11,84923416
271,208;-18,06520531;9,38383173;4,73897639
271,802;-8,850973103;6,775701391;15,07755455
272,396;-7,903601619;13,02960098;23,97365617
272,989;6,335939815;14,70000125;25,81379528
273,583;14,84869797;17,61129291;14,15655428
274,177;19,82888677;25,9473993;8,143652356
274,770;10,84096213;12,0362009;0,557668869
275,364;22,43150769;18,97682611;-0,214420292
275,957;18,66367043;20,2705429;0
276,551;22,28590683;21,01105642;9,31321674
277,144;14,75609862;13,41520988;5,360227939
277,737;21,48098986;11,44200535;3,636869366
278,331;13,9072862;17,2859441;-2,058823394
278,924;21,3913062;19,73652344;19,60833205
279,517;8,583943276;15,12893983;27,82683726
280,111;12,57627978;14,59619182;29,72390059
280,704;5,6395216;9,333335639;29,32123104
281,297;6,579595688;5,396287112;28,31570378
281,890;8,452249977;4,473187588;17,91229023
282,483;6,492247397;14,31773043;16,68764177
283,077;-4,003501351;2,699755604;14,58483681
283,670;-8,769162727;2,208282448;18,74850051
284,263;-14,13339527;-4,179564706;6,008251665
284,856;-3,462219638;-12,71079935;-11,066931
285,449;1,079970322;-10,16141779;-15,90012988
286,042;-6,412884627;-7,918552241;-23,89620353
286,634;-0,639549526;-8,379887499;-24,80739556
287,227;-4,292845271;-7,942148502;-4,882459711
287,820;-2,037037851;-5,908204456;-10,98752034
288,413;7,57519755;1,451028466;-1,25874147
289,006;1,850451953;-0,722543073;-5,7028114
289,599;10,09870725;5,673336609;7,230769277
290,191;1,124361563;11,1255701;10,30439712
290,784;-7,442937639;12,88708246;11,45264105
291,377;-1,935485912;9,708161348;10,06205709
291,969;-16,01997709;18,38389871;21,77921225
292,562;-2,73972342;22,25732248;19,7248666
293,154;-11,82398526;25,8353244;26,22152923
293,747;-17,22473574;21,52438965;12,50497795
294,339;-11,92767589;10,79136919;24,41579208
294,932;-9,456740956;8,844341389;14,17399799
295,524;-0,959520838;2,565406602;10,59122903
296,116;6,115108078;-2,701993877;17,64232573
296,709;14,03612563;-9,768114829;16,3222707
297,301;14,92498058;-11,80245473;6,357584903
297,893;5,53041717;-20,94137616;12,98701282
298,486;14,60925931;-22,63067069;10,13177795
299,078;16,61672482;-21,2300411;13,34477629
299,670;22,31736757;-12,71676308;8,931956998
300,262;23,48971637;-9,920237791;23,8581849
300,854;22,03551099;-5,236028099;22,85048693
301,446;17,21508639;-4,352176333;15,72449605
302,038;22,47191;-2,213328328;6,705352147
302,630;32,35533568;-7,688430657;2,139616014
303,222;47,23473807;0,29161576;-14,21499329
303,814;46,11464691;-1,058455282;-13,46566463
304,406;31,42348756;0,864618683;-13,51279298
304,998;31,41326398;6,381018341;-8,559129381
305,590;15,11245227;3,940756893;-11,78526982
306,182;13,63341851;2,994791329;-3,869605232
306,773;14,03508755;8,215041357;-2,078569602
307,365;7,569266357;14,84577729;8,21802931
307,957;-2,222222057;11,10526408;15,60571077
308,549;-16,47521164;2,67686485;26,3665005
309,140;-21,47964696;-1,214682184;24,89557284
309,732;-29,42165702;0,101832171;26,79673095
310,323;-28,7688823;-7,334199944;22,88121117
310,915;-22,16606509;-4,105506151;18,97043063
311,506;-20,02915391;-6,316461166;13,186388
312,098;-20,7309944;-9,834676049;19,12390942
312,689;-14,99466438;-6,791420923;23,3216196
313,281;-15,10869609;0,344687121;33,43605684
313,872;-5,923248126;4,607843166;25,83886463
314,463;5,925302527;6,49058136;19,29923207
315,055;10,93239461;2,082033051;19,17730997
315,646;6,806127368;6,254003104;21,92339144
316,237;11,04742055;-1,722900659;22,34220798
316,828;14,55611772;-1,163852;27,70628307
317,420;20,06844174;11,03002573;21,01797487
318,011;19,68462501;8,67500979;16,04914948
318,602;16,92025204;4,160919875;8,481504516
319,193;7,871396819;6,707705553;12,71413833
319,784;-4,968153603;3,666937137;16,87422173
320,375;-2,460456603;-7,078651382;22,3097119
320,966;-2,998125905;-5,259768386;17,33141513
321,557;1,327591619;2,419354083;14,77449345
322,148;-2,338008917;1,853505874;18,45817662
322,738;-0,720201956;-4,244212662;14,80965661
323,329;-6,289707259;-2,865194862;14,70032979
323,920;-6,686627393;-0,31710114;13,57931704
324,511;6,52238392;-3,065589516;3,692159924
325,102;12,71812982;-1,330655766;6,89173458
325,692;17,23212103;13,11837573;-7,770349057
326,283;11,55155625;0,453564199;-0,064822756
326,874;5,901930088;-3,08525757;3,950616944
327,464;6,951872025;2,367747918;6,825045224
328,055;0,189873238;1,167656644;9,04141569
328,645;5,41721268;-0,442732677;12,12484954
329,236;14,10910463;-2,037455176;9,637326223
329,826;14,65447173;2,0837945;12,92027933
330,417;9,532710428;5,87212726;6,390211583
331,007;12,24263863;0,952767614;17,65370606
331,597;19,45749624;7,146008523;19,15942672
332,188;21,22892087;8,521626296;12,42471501
332,778;21,20874179;6,965291449;4,241645461
333,368;31,22210337;4,459883539;-0,351541427
333,958;28,8883743;14,08158515;-6,977335584
334,548;32,8347061;13,55672302;3,309002368
335,139;24,763706;10,18789144;2,288439548
335,729;38,38946564;4,04583704;2,421615717
336,319;25,09372099;5,700549689;-3,951368534
336,909;31,16375409;9,242064343;-3,534031448
337,499;26,36934409;-0,615006429;-2,271130998
338,089;27,3470401;4,618668883;-0,474031008
338,679;11,53658546;9,765984658;6,293443448
339,269;13,08036745;2,37635265;9,945255918
339,858;6,124797106;3,296489382;-1,250213888
340,448;9,19676836;3,69928395;-1,357230049
341,038;-1,920878275;3,837425163;-0,049464093
341,628;5,886287565;8,502663105;2,421142265
342,218;1,314555432;11,51479122;-2,821772449
342,807;10,45184815;16,40256851;-12,01836715
343,397;3,785349425;11,94130831;-23,8698391
343,986;10,19011508;3,454544847;-17,92980228
344,576;11,89626507;5,495942675;-25,14506964
345,166;13,4304648;5,106485514;-31,01142316
345,755;12,51287391;6,425902936;-26,61367786
346,345;24,28376474;8,514952463;-37,21917124
346,934;15,27361879;-3,923410581;-37,21042499
347,523;18,9336806;-29,47141593;-28,9886556
348,113;16,38678199;-9,459459003;-30,61275092
348,702;25,23256032;-17,45554592;-21,56392424
349,292;24,00671482;-22,2638004;-35,70888907
349,881;36,75925829;-21,49208606;-22,71135495
350,470;39,35867409;-18,34721604;-12,20821672
351,059;36,71510748;-15,70370385;-10,08492568
351,648;25,30685011;-3,779289845;7,715689033
352,238;32,87267654;7,702611775;3,771661668
352,827;18,32984422;17,54653693;4,415465705
353,416;18,83983562;10,4357987;15,56672939
354,005;22,02987842;17,71247013;5,532830801
354,594;21,51454363;25,03816837;10,65052301
355,183;4,100069679;27,49638265;4,635037192
355,772;-3,152615189;26,95069182;-0,36032614
356,361;2,811333006;21,08583641;-3,35954288
356,949;3,815416486;12,52556932;-8,313004313
357,538;8,70760803;7,735307125;3,311258884
358,127;20,62472378;6,338492272;4,244031695
358,716;16,40151615;8,747617169;0,800139419
359,304;12,34659705;6,706745283;12,23047648
359,893;11,15750784;6,47509631;15,51341134
360,482;17,00391102;8,973617517;18,3613751
361,070;17,17519631;1,225806288;23,40975761
361,659;16,98680459;9,123433899;28,75322743
362,247;13,10297613;11,95279135;26,53269777
362,836;6,997742691;9,836415142;29,2591204
363,424;6,36634355;10,10270611;24,84006464
364,013;7,278287481;10,53521147;16,26506081
364,601;5,338946117;12,80394349;13,79597309
365,190;2,887019397;12,77563965;4,599964162
365,778;-1,025081469;1,155860536;-3,934426778
366,366;-9,151291553;4,110275954;-4,997492863
366,955;-9,652174117;0,756966148;-5,44907396
367,543;1,573395641;3,761128639;-9,505015506
368,131;6,896055415;12,07694402;-16,50175019
368,719;11,770194;9,205189269;-11,16668912
369,307;10,70415943;6,694349935;-5,133057766
369,895;10,93982579;7,238768716;-8,879167827
370,483;12,53889844;4,685165577;-8,12166549
371,071;13,721536;8,711804388;-2,548869169
371,659;15,85182979;11,05932143;-0,253036181
372,247;14,200444;10,6170876;0,418138567
372,835;13,05213191;5,080782477;0,338212069
373,423;10,61224485;2,892254445;1,315360412
374,011;4,496029972;3,05800543;-1,633986836
374,599;3,703865281;2,461228785;0,704913982
375,186;3,431048491;0,787521119;0,08517884
375,774;4,606457347;0,308932977;0,984663226
376,362;3,343665899;-0,031140473;0,133700338
376,950;3,006093253;-1,693894438;-0,797126514
377,537;1,833600084;-1,270162201;-1,386802715
378,125;1,14395242;-0,529558963;-0,347592231
378,712;0,174238569;-0,077808291;-0,304789911
379,300;0,582801435;0,648688954;1,169441575
379,887;0,57897035;1,045523274;0,23441619
380,475;1,025817111;1,14289351;1,05003552
381,062;0,06747634;1,663694796;0,410927217
381,650;0,102541203;1,522135296;0,940615161
382,237;-0,103161708;1,798152662;0,575933991
382,824;0,68212468;2,240048748;1,350879282
383,411;1,306280928;2,510080423;1,88618963
383,999;1,788898083;2,150678979;1,666403015
384,586;2,449166708;1,540445126;1,122685941
385,173;2,457638062;1,988202513;1,329940995
385,760;1,815152436;2,166275925;1,011261126
386,347;1,692141413;2,329824874;2,029435555
386,934;1,561196865;2,762149783;2,030040176
387,521;1,44281052;3,238345208;2,234636801
388,108;1,590481574;2,885560219;2,196380695
388,695;1,011958755;2,928119992;1,79003213
389,282;0,830794067;2,803894385;2,152533821
389,869;0,346846643;3,062039684;2,1099048
390,456;0,137921474;3,192976287;2,014412051
391,043;0,708441998;3,600851866;2,498736496
391,630;1,058519637;3,896059457;2,234527585
392,216;1,244343986;4,083211098;2,466236632
392,803;1,19646237;4,319428221;2,689061954
393,390;1,083907164;4,664093944;2,847803449
393,976;1,119317452;4,918009598;2,751877384
394,563;1,336344523;5,479018047;2,6299922
395,149;1,539669706;5,699186113;2,829905094
395,736;1,664055763;5,403029852;3,325996914
396,322;1,153693033;5,095055844;3,347663593
396,909;0,886026553;4,920967712;3,636668724
397,495;1,207341137;4,950348576;3,653105556
398,082;1,417663179;4,801332349;3,70211704
398,668;1,304258557;4,798217549;3,820573497
399,254;1,469090402;4,967318333;4,041583123
399,841;1,374253031;4,897808678;4,113101604
400,427;1,368199316;4,934733663;4,252231753
401,013;1,373600799;5,255799592;4,297882713
401,599;1,49303112;5,332491136;4,479311675
402,185;1,457934727;5,499929355;4,567253387
402,771;1,178131967;5,497180437;4,87505241
403,357;1,05544116;5,716492743;5,04822041
403,943;1,292257276;5,987368673;5,339828397
404,529;1,153423686;6,251105434;5,650805797
405,115;1,31232391;6,583419629;5,977074552
405,701;1,477432216;6,80735369;6,238068202
406,287;1,627545594;6,920522729;6,564899005
406,873;1,79422522;6,952568702;6,719145808
407,459;1,89087246;6,965858578;7,094223754
408,044;1,992543015;7,366319011;7,217675975
408,630;2,147373281;7,584032521;7,66409515
409,216;2,108565465;7,679210039;7,808653294
409,802;2,238848672;7,65868025;8,073102148
410,387;2,239092902;7,755390212;8,29145819
410,973;2,231240215;7,925197728;8,688008846
411,558;2,257948163;7,935880021;9,020281799
412,144;2,164348594;8,112309359;9,359803009
412,729;2,154294326;8,469221458;9,481612587
413,315;2,336211569;8,530012555;9,773710524
413,900;2,458004788;8,706157445;9,870754674
414,485;2,457347687;8,879443234;10,21125727
415,071;2,594887447;9,023410843;10,38075082
415,656;2,544201586;9,11002504;10,75348466
416,241;2,512827406;9,089508633;10,81388958
416,827;2,473556257;9,463172597;10,97478629
417,412;2,50041815;9,834068201;11,20290579
417,997;2,680874073;9,902156107;11,65789307
418,582;2,595562371;10,05413504;11,74288786
419,167;2,58941306;10,31625955;12,17934282
419,752;2,693957152;10,40031908;12,30562311
420,337;2,675189029;10,60951428;12,61297251
420,922;2,720290721;10,9746528;12,67710595
421,507;2,855676767;11,11030001;13,07553514
422,092;2,834342747;11,17126151;13,28954661
422,677;2,824277314;11,30866413;13,50085947
423,261;2,923831608;11,49636708;13,50825858
423,846;2,931395404;11,72656196;13,80628102
424,431;2,99352881;11,71671868;14,00973959
425,016;2,879240241;11,91567085;14,23532372
425,600;2,841375436;12,08198797;14,32763466
426,185;3,078554241;12,03645691;14,68089589
426,770;3,212971918;12,44199121;14,66339908
427,354;3,281453285;12,50391645;14,80093518
427,939;3,275626955;12,57116226;14,91850404
428,523;3,207093685;12,58354294;15,12407331
429,108;3,285504638;12,6136632;15,30273197
429,692;3,093334111;12,7796092;15,45092264
430,276;3,173137052;13,0789411;15,4401989
430,861;3,259340025;13,10109203;15,70255513
431,445;3,120711824;13,26326116;15,64145172
432,029;3,057253402;13,12673235;15,90010363
432,613;3,111005289;13,24141749;15,99090603
433,198;3,207229072;13,43162873;16,0448521
433,782;3,196557155;13,67571787;15,93635967
434,366;3,071137212;13,54604817;15,98477245
434,950;3,1543551;13,70452531;16,01285028
435,534;3,125549883;13,63182362;16,23060388
436,118;3,115016248;13,66493225;16,27439051
436,702;3,130361363;13,77489234;16,5514843
437,286;3,066515992;13,94492638;16,59777074
437,870;3,083770755;14,01982431;16,68447742
438,454;3,11707229;14,0664045;16,87508098
439,038;3,221761027;14,13348581;17,10626951
439,621;3,290219463;14,48555634;17,31206186
440,205;3,216481228;14,43296889;17,3902869
440,789;3,204609938;14,65221998;17,39895262
441,372;3,213222629;14,75703356;17,54511907
441,956;3,29560285;14,73685201;17,48364698
442,540;3,395819888;14,79121769;17,5795531
443,123;3,37534815;14,92662514;17,61042402
443,707;3,353732739;14,86668054;17,5293811
444,290;3,233771744;14,92696346;17,54621166
444,874;3,346680194;14,89530502;17,42221515
445,457;3,482514133;15,03948856;17,47201418
446,040;3,623446499;14,88736496;17,57152069
446,624;3,545897937;14,90024537;17,44518366
447,207;3,418660584;14,9703039;17,46921238
447,790;3,314418097;15,0608924;17,50904622
448,374;3,379930186;14,98841654;17,64798498
448,957;3,359578045;15,0778892;17,71381065
449,540;3,249597604;15,03329432;17,79512366
450,123;3,185291014;14,99322734;17,91363643
450,706;3,192044191;14,95834498;17,82781743
451,289;3,14641912;15,18899364;17,74948987
451,872;3,24113595;15,24739352;17,78867204
452,455;3,252906441;15,30437053;17,75595957
453,038;3,289907882;15,26731238;17,72188966
453,621;3,205501034;15,29013946;17,8002843
454,204;3,265914764;15,29238664;17,79629812
454,787;3,395024191;15,31724406;17,77157872
455,369;3,438634359;15,34240973;17,69836578
455,952;3,343787848;15,35988961;17,73339739
456,535;3,314083197;15,19757772;17,81258338
457,117;3,167837642;15,25270382;17,84418647
457,700;3,159104928;15,26207481;17,93319861
458,283;3,172109817;15,29726004;17,95033459
458,865;3,121615951;15,29496364;17,81416836
459,448;3,058397601;15,32132756;17,78079109
460,030;3,063956345;15,34223739;17,87204554
460,613;2,935455372;15,42980915;17,88385509
461,195;2,958934671;15,4903071;17,92613227
461,777;2,962948023;15,57108649;17,91257059
462,360;3,063835374;15,53295752;17,96260421
462,942;2,99873247;15,50646218;17,84431358
463,524;2,980439296;15,48552949;17,79819357
464,107;2,990383565;15,48520676;17,81586715
464,689;2,978332714;15,48042465;17,9083717
465,271;2,972094969;15,55443421;17,87442771
465,853;3,018952443;15,60405341;17,93532163
466,435;3,041854176;15,53626609;17,88782379
467,017;3,023784659;15,52165194;17,81842466
467,599;3,000649039;15,53971906;17,77699711
468,181;3,055463124;15,54377575;17,79154985
468,763;3,005325157;15,47541699;17,77894063
469,345;3,030138899;15,53010981;17,77057964
469,927;3,017225198;15,5181771;17,66646042
470,508;2,987137722;15,45958597;17,61287331
471,090;2,90681788;15,36994805;17,44962344
471,672;2,871929266;15,3571908;17,36437012
472,254;2,892757529;15,26475037;17,38598627
472,835;2,906764679;15,15098405;17,27599425
473,417;2,904083921;15,1388823;17,25284041
473,998;2,947156452;15,20944068;17,15566338
474,580;2,982649806;15,14683434;17,06468567
475,161;2,935418673;15,0636082;16,87850353
475,743;2,902913664;14,98412392;16,74580218
476,324;3,022640163;15,01026279;16,78022315
476,906;2,99143118;15,03120271;16,83277035
477,487;2,971480719;15,06117761;16,67810005
478,068;2,91605997;15,14990646;16,52412634
478,650;2,867294367;15,07709446;16,50037694
479,231;2,810893631;15,02849371;16,44361973
479,812;2,734576329;15,00694998;16,3439652
480,393;2,783920979;15,08297004;16,41620427
480,974;2,787214829;15,08583093;16,31915704
481,555;2,703911457;15,01878762;16,18381229
482,136;2,713951092;14,9567627;16,10718228
482,717;2,610195557;14,95017101;16,10946442
483,298;2,660662816;14,86384235;16,13060843
483,879;2,664113761;14,88953973;16,01987919
484,460;2,631456162;14,79346743;15,9312016
485,041;2,615749359;14,76967945;15,74914308
485,622;2,648334382;14,73918927;15,64881802
486,203;2,646289162;14,72200983;15,60261079
486,783;2,665543799;14,72709908;15,49818486
487,364;2,601449629;14,68866762;15,29290967
487,945;2,664565728;14,60522861;15,18822947
488,525;2,660000221;14,64938144;15,0938818
489,106;2,714900825;14,5741778;14,95096105
489,686;2,71388139;14,61352664;14,81162738
